变量,变量类型,治疗组均值,治疗组SD,对照组均值,对照组SD,SMD,P值,检验方法,基线可比
年龄,连续,48.61073825503356,9.26028384466315,47.39837398373984,9.09308856382041,0.13210803349774225,0.2787652206773836,t检验,是
基线白蛋白,连续,45.483758389261745,2.593876749168794,46.43739837398374,3.6562409786686216,-0.30084406950398,0.040837192819438824,Mann-Whitney,否
基线胆红素,连续,17.56261423016915,9.207977436670078,15.49918699186992,5.749290703721197,0.2688162964518983,0.02682312400119412,Mann-Whitney,否
基线ALT,连续,26.341771713019142,10.519002048570417,24.975609756097562,9.783277313559212,0.1344938439696847,0.30641908552495456,Mann-Whitney,是
基线AST,连续,25.159541345749027,6.818260299032255,23.83739837398374,6.505198405184658,0.1984136652932841,0.062309413812596005,Mann-Whitney,是
基线GGT,连续,32.03657841947547,20.132534273574315,28.528455284552845,15.931886370797423,0.19324118624414915,0.08420378691550325,Mann-Whitney,是
基线ALP,连续,76.90096337204983,20.169565808882904,79.869918699187,47.0599477035641,-0.08200642248061418,0.6865723347671021,Mann-Whitney,是
肝硬度值基线,连续,13.536986301369861,8.17365839417324,11.350000000000001,4.11455604270636,0.33798629206306546,0.022065765379201047,Mann-Whitney,否
血小板基线,连续,154.64705882352942,58.063889385268226,190.1855421686747,63.08556932226786,-0.5861849191186586,2.7103386382348687e-05,Mann-Whitney,否
HBsAg基线,连续,1600.4069,1843.5026534260717,2730.2835126050427,4637.981931914924,-0.32015815734298925,0.07852535621380628,Mann-Whitney,是
性别,分类,1.2281879194630871,,1.2195121951219512,,,0.9802959108456915,卡方检验,是
饮酒史,分类,0.2348993288590604,,0.2032520325203252,,,0.6315126300802716,卡方检验,是
吸烟史,分类,0.10738255033557047,,0.15447154471544716,,,0.3308292919906376,卡方检验,是
是否合并脂肪肝,分类,1.8187919463087248,,1.7560975609756098,,,0.2649420892027767,卡方检验,是
